,TotalDemand,Price,Date,Time,Tmax,MeanPrice,Year,Quarter
9644,9129.495,71.97,2000-07-20,00:00:00,18.2,46.392149490373725,2000,3
9692,9040.76667,57.03,2000-07-21,00:00:00,18.6,46.392149490373725,2000,3
9740,9141.43833,72.03,2000-07-22,00:00:00,18.2,46.392149490373725,2000,3
9788,8489.05667,43.58,2000-07-23,00:00:00,19.2,46.392149490373725,2000,3
9836,8222.56167,38.44,2000-07-24,00:00:00,22.9,46.392149490373725,2000,3
9884,8604.54,40.94,2000-07-25,00:00:00,24.0,46.392149490373725,2000,3
9932,8513.95333,50.42,2000-07-26,00:00:00,17.8,46.392149490373725,2000,3
9980,8846.06667,62.86,2000-07-27,00:00:00,14.0,46.392149490373725,2000,3
10028,9282.31667,64.3,2000-07-28,00:00:00,14.6,46.392149490373725,2000,3
10076,9367.42833,84.18,2000-07-29,00:00:00,16.2,46.392149490373725,2000,3
10124,8470.49,46.26,2000-07-30,00:00:00,19.1,46.392149490373725,2000,3
10172,8075.35333,35.14,2000-07-31,00:00:00,17.9,46.392149490373725,2000,3
10220,8847.54667,51.43,2000-08-01,00:00:00,17.9,46.392149490373725,2000,3
10268,8853.33167,56.35,2000-08-02,00:00:00,18.2,46.392149490373725,2000,3
10316,8848.02333,93.98,2000-08-03,00:00:00,18.2,46.392149490373725,2000,3
10364,8896.53833,79.81,2000-08-04,00:00:00,19.2,46.392149490373725,2000,3
10412,8904.82667,75.01,2000-08-05,00:00:00,17.1,46.392149490373725,2000,3
10460,8099.895,41.62,2000-08-06,00:00:00,17.1,46.392149490373725,2000,3
10508,7891.86667,51.61,2000-08-07,00:00:00,19.9,46.392149490373725,2000,3
10556,8599.04,48.43,2000-08-08,00:00:00,19.5,46.392149490373725,2000,3
10604,8550.93167,49.69,2000-08-09,00:00:00,20.5,46.392149490373725,2000,3
10652,8692.86333,40.91,2000-08-10,00:00:00,19.7,46.392149490373725,2000,3
10700,8902.13667,58.39,2000-08-11,00:00:00,18.3,46.392149490373725,2000,3
10748,8980.38,58.82,2000-08-12,00:00:00,16.5,46.392149490373725,2000,3
10796,8100.575,38.61,2000-08-13,00:00:00,15.4,46.392149490373725,2000,3
10844,7885.305,34.97,2000-08-14,00:00:00,17.2,46.392149490373725,2000,3
10892,8895.96833,52.15,2000-08-15,00:00:00,17.4,46.392149490373725,2000,3
10940,9018.99333,61.14,2000-08-16,00:00:00,13.5,46.392149490373725,2000,3
10988,9094.91667,59.51,2000-08-17,00:00:00,14.5,46.392149490373725,2000,3
11036,9166.00667,59.34,2000-08-18,00:00:00,15.1,46.392149490373725,2000,3
11084,8963.68333,65.53,2000-08-19,00:00:00,17.2,46.392149490373725,2000,3
11132,8014.14833,38.14,2000-08-20,00:00:00,19.8,46.392149490373725,2000,3
11180,7717.82167,35.05,2000-08-21,00:00:00,19.7,46.392149490373725,2000,3
11228,8616.05167,54.7,2000-08-22,00:00:00,20.2,46.392149490373725,2000,3
11276,8658.71333,57.15,2000-08-23,00:00:00,20.5,46.392149490373725,2000,3
11323,8668.75167,68.86,2000-08-24,00:00:00,18.9,46.392149490373725,2000,3
